bg,char,avatar,name,text
images/bg1.png,,,,独孤皇后，名伽罗，河南洛阳人，周大司马独孤信之女
images/bg1.png,,,,周朝鼎盛时，独孤氏之姊为周明帝后，你的长女为周宣帝后，贵戚之盛，历朝历代莫之与比
images/bg1.png,,,,而独孤氏本人却谦卑自守，世人称之
images/bg2.png,,,,突厥曾经与中原贸易，边境郡守收获一盒夜明珠，价值八百万钱，献于独孤氏，独孤氏却拒绝收下
images/bg3.png,,images/Tagara.png,独孤伽罗,珍玩非我所需，今戎狄屡寇，将士疲劳，不如将这明珠换得钱币，分赏有功之将士
images/bg2.png,,,,百僚闻此事，都来道贺，你也对她愈加尊敬
images/bg1.png,,,,独孤氏双亲早逝，公卿父母尚在者，独孤氏常常致礼问候
images/bg1.png,,,,独孤氏颇仁爱，每闻大理寺决狱，未尝不流涕
images/bg1.png,,,,你每次临朝，独孤氏都要旁听，政有所失，随时匡谏，对朝政多有帮助。你二人意见往往相合，宫中称为“二圣”
images/bg1.png,,,,